ID,Name,Show address?,Address1,Address2,City,State,Zipcode,Phone,Description,accept_volunteers
72,Penninsula Humane Society / SPCA,0,,,San Mateo,CA,,650-340-7022,,1
73,Wild Care,0,,,San Rafael,CA,,415-456-7283,,1
74,Native Animal Rescue,0,,,Santa Cruz,CA,,831-462-0726,,1
75,Sonoma County Wildlife Rescue,0,,,Santa Rosa,CA,,707-992-0274,,1
76,Bird Rescue Center,0,,,Santa Rosa,CA,,707-523-2473,,1
77,Suisun Marsh Natural History Association,0,,,Suisun,CA,,707-429-4295,,1
78,International Bird Rescue Research Center,0,,,Suisun,CA,,707-207-0380,,0
79,Native Songbird Care and Conservation,0,,,Sebastopol,CA,,707-484-6502,Songbirds only,1
80,Lindsay Wildlife Museum,0,,,Walnut Creek,CA,,925-935-1978,No skunks accepted,1
81,Yggdrasil Urban Wildlife,0,,,Oakland,CA,,510-421-9897,,1
82,Wild Rescue,0,,,Moss Landing,CA,,866-WILD-911,Transportation and wildlife information only,1
83,S.P.C.A of Monterey County,0,,,Monterey,CA,,831-373-2631,,1
84,California Living Museum,0,,,Bakersfield,CA,,661-872-2256,,1
85,Tehachapi Wildlife Rehab and Education,0,,,Tehachapi,CA,,661-822-7670,,1
86,Fresno Wildlife Rescue and Rehabilitation,0,,,Clovis,CA,,559-298-3276,,1
87,Stanislaus Wildlife Care Center,0,,,Hughson,CA,,209-883-9414,,1
88,San Joaquin Raptor Rescue Center,0,,,Merced,CA,,209-723-9283,Raptors only,1
89,VCA Crestwood Animal Hospital,0,,,Ridgecrest,CA,,760-446-7616,,0
90,Rose Wolf Wildlife Rehabilitation Center,0,,,Sonora,CA,,209-588-1335,Specialty: Raptors/squirrels/rabbits/fawns,1
91,Motherlode Wildlife Care,0,,,Tuolumne,CA,,209-677-7249,,1
92,Critter Creek Wildlife Station,0,,,Squaw Valley,CA,,559-338-2415,,1
93,Pacific Wildlife Care,0,,,Morro Bay,CA,,805-543-9453,,1
94,Opossum Society of the US,0,,,Bellflower,CA,,562-804-3038,Opossums only,1
95,Camarillo Wildlife Rescue,0,,,Camarillo,CA,,805-482-7617,,1
96,Hummingbird Rescue Center,0,,,Chula Vista,CA,,619-420-5156,Hummingbirds only,1
97,Songbird Care and Education Center,0,,,Fountain Valley,CA,,714-964-0666,Songbirds only,1
98,Wetlands and Wildlife,0,,,Huntington,CA,,714-374-5587,,1
99,Orange County Bird of Prey Center,0,,,Lake Forest,CA,,949-837-0786,,1
100,Sky Hunters,0,,,Lakeside,CA,,619-445-6565,Raptors only,1
101,All Wildlife Rescue & Education,0,,,Long Beach,CA,,562-434-0141,,1
102,California Wildlife Center,0,,,Malibu,CA,,818-222-2658,,1
103,Ojai Valley Wildlife Rehab,0,,,Oakview,CA,,805-649-1208,,1
104,Ojai Raptor Center,0,,,Oakview,CA,,805-667-4727,,1
105,Wildlife Rescue of Ojai,0,,,Ojai,CA,,805-649-5442,,1
106,Susan Doggett,0,,,Orange,CA,,714-637-8355,Birds only,0
107,Andrea Ristig,0,,,Orange,CA,,714-998-2780,Juvenile raccoons only,0
108,South Bay Wildlife Rehab,0,,,Palos Verdes,CA,,310-378-9921,,1
109,Pasadena Humane Society,0,,,Pasadena,CA,,626-792-7151,,1
110,Fund For Animals,0,,,Ramona,CA,,760-789-2324,Specialty: Bobcats/coyotes/skunks/raptors,1
111,Project Wildlife,0,,,San Diego,CA,,619-225-9453,,1
112,Trudy and Jim Vrieling,0,,,San Dimas,CA,,909-599-4893,Mammals only; Specialty: Raccoons,0
113,Wild Wings of California,0,,,San Dimas,CA,,909-592-4900,Songbirds & raptors only,1
114,La Cumbre Canyon Wildlife Care,0,,,Santa Barbara,CA,,805-687-9980,Specialty: Raccoons/opossums/skunks,1
115,Coast & Canyon Wildlife,0,,,Malibu,CA,,310-480-1760,Small mammals only,1
116,Santa Barbara Wildlife Care Network,0,,,Santa Barbara,CA,,805-966-9005,,1
117,International Bird Rescue and Research Center,0,,,San Pedro,CA,,310-514-2573,,0
118,Wildlife Care of Ventura County,0,,,Simi Valley,CA,,805-581-3911,Specialty: Coyote/bobcats/raccoons/opossums,1
119,Sharron Baird,0,,,Thousand Oaks,CA,,805-498-8653,Small mammals only,0
120,Wildworks,0,,,Topanga,CA,,310-455-0550,,1
121,Vicki Youmans,0,,,Ventura,CA,,805-746-3962,Specialty: Squirrels,0
122,Shadow Oaks Wildlife Care,0,,,Thousand Oaks,CA,,805-374-9027,Small mammals only,1
123,Animal Rescue Team,0,,,Santa Ynez,CA,,805-896-1859,,1
124,Big Bear Alpine Zoo,0,,,Big Bear Lake,CA,,909-584-1299,,1
125,Eastern Sierra Wildlife Care,0,,,Bishop,CA,,760-872-1487,,1
126,Stephanie McKiernan,0,,,Cherry Valley,CA,,951-769-0847,,0
127,All Gods Creatures,0,,,Chino Hills,CA,,909-393-1590,,1
128,Hope Wildlife,0,,,Corona,CA,,951-279-3232,,1
129,Robin Gates,0,,,Idyllwild,CA,,951-659-9829,,0
130,Tracks and Tales,0,,,Blythe,CA,,760-552-3239,,1
131,Coachella Valley Wild Bird Center,0,,,Indio,CA,,760-347-2647,,1
132,Kandie Cansler,0,,,Oak Glen,CA,,909-790-1010,Raptors only,0
133,The Living Desert Zoo and Gardens,0,,,Palm Desert,CA,,760-346-5694,,1
134,Joseph and Linda Chalk,0,,,San Bernardino,CA,,909-887-8267,Specialty: Raptors,0
135,Blue Sky Veterinarian Clinic,0,,,Bend,OR,,541-383-3833,,0
136,High Desert Wildlife Rescue and Rehabilitation,0,,,Bend,OR,,541-241-8680,,1
137,Kim Farasyn,0,,,Crooked River Ranch,OR,,541-420-7245,,0
138,Wild Wings Raptor Rehab,0,,,Sisters,OR,,541-408-0863,,1
139,Tracy Leonhardy,0,,,Bend,OR,,541-388-0383,,0
140,Elise Wolf,0,,,Sisters,OR,,541-728-8208,,0
141,Sunriver Nature Center,0,,,Sunriver,OR,,541-593-4394,,1
142,Cheryl Rorabeck,0,,,Bend,OR,,541-993-2249,,0
143,Sandy Thompson,0,,,Bend,OR,,541-610-9962,,0
144,Judy Niedzwiecke,0,,,Bend,OR,,541-389-6012,,0
145,Wildlife Images,0,,,Grants Pass,OR,,541-476-0222,,1
146,Tiffany Morey,0,,,Ashland,OR,,702-858-2105,,0
147,Jody Raines,0,,,Selma,OR,,541-660-0515,,0
148,Janet Dunlap,0,,,Ashland,OR,,541-482-2683,,0
149,Rock Creek Veterinary Hospital,0,,,Aloha,OR,,503-645-4458,,0
150,Southwest Animal Hospital,0,,,Beaverton,OR,,503-643-2137,,0
151,Mary Namit,0,,,Woodburn,OR,,503-634-2544,,0
152,Portland Audubon,0,,,Portland,OR,,503-292-0304,,1
153,Sue Haines,0,,,Lake Oswego,OR,,503-757-5330,,0
154,American Wildlife Foundation,0,,,Molalla,OR,,971-227-4036,,1
155,Karen Costa,0,,,Salem,OR,,503-749-1053,,0
156,Dallas Animal Hospital,0,,,Dallas,OR,,503-623-3943,,0
157,Oak Hills Veterinary Clinic,0,,,Salem,OR,,503-581-8161,,0
158,Chintimini Wildlife Center,0,,,Corvallis,OR,,541-745-5324,,1
159,Turtle Ridge,0,,,Salem,OR,,503-540-8664,,0
160,Tari Edmonds,0,,,Salem,OR,,503-362-1982,,0
161,Town & Country Animal Clinic,0,,,Brookings,OR,,541-469-4661,,0
162,Badger Run Wildlife Rehab,0,,,Klamath Falls,OR,,541-891-2052,,1
163,Oregon Coast Aquarium,0,,,Newport,OR,,541-867-3474,,1
164,Umpqua Wildlife Rescue,0,,,Roseburg,OR,,541-440-6895,,1
165,West Eugene Animal Hospital,0,,,Eugene,OR,,541-342-5858,,0
166,Cascade Raptor Center,0,,,Eugene,OR,,541-485-1320,,1
167,Blue Mountain Wildlife,0,,,Pendleton,OR,,541-278-0215,,1
168,Rowena Wildlife Clinic,0,,,The Dalles,OR,,541-478-2584,,0
169,Wildlife Center of the North Coast,0,,,Astoria,OR,,503-338-0331,,1
